Comment,Designator,Footprint,LCSC
1k,"R_Crystal1,R_Flash1,R_RST1",R_0402_1005Metric,C11702
PRTR5V0U2X,U4,SOT143B,C12333
.1u,"C_1V-Decoup2,C_1V-Decoup3,C_3V-Decoup3,C_3V-Decoup4,C_3V-Decoup5,C_3V-Decoup6,C_3V-Decoup7,C_3V-Decoup8,C_3V-Decoup9,C_Flash1",C_0402_1005Metric,C1525
10u,C_3V-Decoup1,C_0402_1005Metric,C15525
22pF,"C_Crystal1,C_Crystal2",C_0402_1005Metric,C1555
RP2040,U1,RP2040-QFN-56,C2040
27,"R_DATA1,R_DATA2",R_0402_1005Metric,C25100
SM04B,J1,Molex_Pico-EZmate_78171-0004_1x04-1MP_P1.20mm_Vertical,C528030
1u,"C_1V-Decoup1,C_3V-Decoup2,C_LDO1,C_LDO2",C_0402_1005Metric,C52923
XC6206PxxxMR,U2,SOT-23,C5446
D_Small,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D5,D6,D7,D8,D9",D_SOD-123,C64898
500ma,F1,Fuse_0805_2012Metric,C883103
12MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
W25Q128JVS,U3,SOIC-8_5.23x5.23mm_P1.27mm,C97521
space,MX44,MX-Solderable-8U-ReversedStabilizers,
ansi-shift,MX43,mx_225u,
ansi-enter,MX42,mx_225u,
iso-enter,MX41,mx_iso,
pti-enter,MX23,mx_125u,
V,MX29,mx_1u,
space,MX39,mx_7u,
B,MX30,mx_1u,
win,MX37,mx_125u,
altgr,MX40,mx_1u,
U,MX7,mx_1u,
X,MX27,mx_1u,
G,MX17,mx_1u,
A,MX1,mx_1u,
D,MX15,mx_1u,
comma,MX32,mx_1u,
r-shift,MX35,mx_175u,
iso-shift,MX24,mx_125u,
Q,MX13,mx_1u,
O,MX9,mx_1u,
N,MX31,mx_1u,
S,MX14,mx_1u,
P,MX10,mx_1u,
K,MX20,mx_1u,
nubs,MX25,mx_1u,
M,MX22,mx_1u,
T,MX5,mx_1u,
ctrl,MX36,mx_125u,
H,MX18,mx_1u,
Y,MX6,mx_1u,
L,MX21,mx_1u,
F,MX16,mx_1u,
I,MX8,mx_1u,
backspace,MX11,mx_15u,
caps_lock,MX12,mx_stepped_caps,
E,MX3,mx_1u,
semi-colon,MX33,mx_1u,
slash,MX34,mx_1u,
R,MX4,mx_1u,
J,MX19,mx_1u,
C,MX28,mx_1u,
W,MX26,mx_1u,
alt,MX38,mx_1u,
Z,MX2,mx_1u,
SWD,J2,PinHeader_1x05_P2.54mm_Vertical,
Boot,SW1,PinHeader_1x02_P2.54mm_Vertical,
ctrl,MX46,mx_15u,
win,MX45,mx_1u,
